iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
132,0,0.023932,1.238962,0.100118,0.002219,1.341299,5.124030,15.597728,29.557926,0.702733,0.919318,0.035442,6.665023,8.252684
133,0,0.020313,1.159101,0.096222,0.002011,1.257334,8.459003,15.707935,30.767559,0.249851,0.781716,0.050424,5.033650,6.054654
134,0,0.024205,1.047627,0.088365,0.002074,1.138066,8.148184,15.744315,29.908792,0.273967,0.696295,0.054907,4.507209,5.509886
135,0,0.020873,0.967485,0.067368,0.001336,1.036189,7.511839,15.872768,29.934609,0.341415,0.624439,0.022341,5.119158,6.076293
136,0,0.027748,0.682964,0.051575,0.003826,0.738365,9.703284,14.712161,30.031160,0.280588,0.362120,0.020062,4.541642,5.106692
137,0,0.018882,0.500672,0.043067,0.001102,0.541655,7.211406,15.875868,30.656469,0.178511,0.120722,0.016358,6.760797,7.064323
138,0,0.024472,0.866112,0.088052,0.002005,0.955754,7.033843,16.570891,30.761305,0.355760,0.463720,0.043372,5.762472,6.141554
139,0,0.022561,1.061584,0.107776,0.002660,1.133262,6.699484,15.547332,29.705372,0.321672,0.703272,0.046905,5.913566,6.896694
140,0,0.020085,0.831020,0.091299,0.001883,0.905087,8.031453,15.884895,29.995422,0.171133,0.523749,0.053312,4.889111,5.612409
141,0,0.026008,0.924478,0.076529,0.002313,0.993810,5.367561,14.873119,30.190590,0.297236,0.484449,0.039014,8.574982,8.910156
142,0,0.026764,1.281183,0.123556,0.002237,1.375593,5.231828,14.835524,29.360452,0.334400,0.766849,0.065498,7.479881,8.161694
143,0,0.026942,1.089927,0.109277,0.007493,1.206697,6.831235,15.675378,29.762927,0.363195,0.653840,0.064897,5.627863,6.174610
144,0,0.025843,1.503473,0.155226,0.002048,1.628630,6.957870,15.543241,30.079384,0.466323,0.696883,0.036716,5.500672,6.529416
145,0,0.024631,1.131401,0.068529,0.001318,1.201248,7.174837,15.618264,29.712758,0.374147,0.798943,0.030384,5.240651,6.417620
146,0,0.021115,1.239409,0.093346,0.001577,1.330897,8.986719,15.783047,31.342671,0.418028,0.832073,0.043559,4.761607,6.009411
147,0,0.023848,1.265918,0.077319,0.001402,1.344639,7.678318,16.012368,30.375312,0.395590,0.805867,0.033891,4.822327,6.006609
148,0,0.035923,1.079325,0.105028,0.005094,1.189447,6.095642,16.626136,30.394915,0.588068,0.385127,0.153878,5.710418,6.339124
149,0,0.022100,1.228555,0.100573,0.002184,1.328445,6.937627,15.868062,29.575654,0.389799,0.865732,0.061258,4.974159,6.272413
150,0,0.026354,1.498096,0.183490,0.008360,1.629237,5.074246,15.875935,29.920601,0.502515,1.226730,0.122652,6.593131,8.402182
151,0,0.024260,1.285676,0.175274,0.002078,1.462550,6.527404,15.663098,29.854377,0.314490,1.056043,0.073971,5.712247,6.994381
152,0,0.022769,1.085437,0.092370,0.001500,1.156211,8.488852,15.739817,30.728998,0.358998,0.726461,0.065047,4.901651,6.044582
153,0,0.021274,0.961120,0.062390,0.001233,1.024734,7.699555,15.709839,29.876928,0.267048,0.687405,0.033913,5.130472,6.024102
154,0,0.021522,0.629448,0.071329,0.001487,0.702264,9.368002,15.899441,30.551847,0.206144,0.302215,0.038203,4.322512,4.843619
155,0,0.021008,1.189715,0.067545,0.001471,1.258731,7.526991,15.678796,29.670486,0.369163,0.957509,0.026542,4.765097,5.968116
156,0,0.029741,1.156580,0.073473,0.001515,1.223876,6.308581,16.490886,30.666379,0.367044,0.672952,0.027628,6.177699,6.783542
157,0,0.023933,0.942898,0.071671,0.001228,1.015768,5.403935,15.601312,29.894553,0.296579,0.539157,0.081047,7.473473,8.277021
158,0,0.023818,0.914458,0.070092,0.001685,0.985908,6.505454,15.466660,29.895333,0.301298,0.465233,0.023994,6.588973,6.926250
159,0,0.018801,0.510471,0.048616,0.001208,0.560295,8.442496,15.520531,30.255525,0.168515,0.221515,0.018038,5.480855,5.875106
160,0,0.020931,0.499855,0.040201,0.001157,0.538564,8.445500,15.663114,30.421208,0.172725,0.163739,0.013402,5.533348,5.878410
161,0,0.029498,1.115261,0.102829,0.002001,1.220091,6.719417,15.779772,29.470701,0.288887,0.695642,0.065384,5.389083,5.978196
162,0,0.025240,1.000258,0.091703,0.002464,1.085453,6.868583,16.511387,30.638195,0.344137,0.578258,0.043059,5.759157,6.290386
163,0,0.026275,1.112956,0.103365,0.002075,1.205534,5.885005,16.473359,29.998741,0.266050,0.356663,0.040687,6.178247,6.471292
164,0,0.024560,1.061302,0.128219,0.003351,1.186810,7.150878,15.572552,30.125375,0.434449,0.420421,0.082845,5.710760,6.216489
165,0,0.046802,0.736178,0.081821,0.001495,0.819494,7.463450,16.406564,30.049968,0.274811,0.287323,0.050717,5.036207,5.295522
166,0,0.019491,0.971962,0.083357,0.001899,1.057123,8.324941,15.737223,29.786669,0.288501,0.650214,0.083172,4.302465,5.308163
167,0,0.023116,0.623200,0.045844,0.001129,0.667773,8.261569,15.721155,29.973500,0.289218,0.282934,0.017306,4.977569,5.519230
168,0,0.022574,0.902227,0.071937,0.001224,0.975388,7.832215,15.667797,30.896949,0.409465,0.610982,0.037568,5.944021,6.842731
169,0,0.019339,0.837300,0.106033,0.001460,0.944793,8.967003,15.403333,29.585138,0.252308,0.529840,0.064620,3.946781,4.784935
170,0,0.019042,0.702421,0.056628,0.001089,0.760037,8.204257,15.574756,30.371016,0.248588,0.347176,0.026424,5.534752,6.147970
